Projects with links
type	projects
AST	256
BYTE	711



Duplicate projects
type	count(*)
ALL	157



Links
project	type	link	amount
picocontainer__picocontainer	AST	No link	233
picocontainer__picocontainer	BYTE	No link	217
picocontainer__picocontainer	AST	Link	23
picocontainer__picocontainer	BYTE	Link	39
pinkgoldpeach__Ticketline	AST	No link	6
pinkgoldpeach__Ticketline	BYTE	No link	6
pinkgoldpeach__Ticketline	AST	Link	21
pinkgoldpeach__Ticketline	BYTE	Link	21
pinterest__secor	AST	No link	3
pinterest__secor	BYTE	No link	3
piotr-pawlaczek__message-sender	AST	No link	10
piotr-pawlaczek__message-sender	BYTE	No link	10
piotr-pawlaczek__message-sender	AST	Link	3
piotr-pawlaczek__message-sender	BYTE	Link	3
plataforma-educativa__batalla-espacial	AST	No link	81
plataforma-educativa__batalla-espacial	BYTE	No link	72
plataforma-educativa__batalla-espacial	AST	Link	25
plataforma-educativa__batalla-espacial	BYTE	Link	34
PolymathicCoder__servo-influxdb	AST	Link	19
ponsonio__commons-compress	AST	No link	9
ponsonio__commons-compress	BYTE	No link	7
ponsonio__commons-compress	AST	Link	10
ponsonio__commons-compress	BYTE	Link	10
Praqma__cool	AST	No link	62
Praqma__cool	BYTE	No link	62
Praqma__cool	AST	Link	17
Praqma__cool	BYTE	Link	17
prav712__blackjack	AST	No link	46
prav712__blackjack	BYTE	No link	43
prav712__blackjack	AST	Link	1
prav712__blackjack	BYTE	Link	4
preetigupta2000__openrtb-h	AST	No link	129
preetigupta2000__openrtb-h	BYTE	No link	126
preetigupta2000__openrtb-h	AST	Link	49
preetigupta2000__openrtb-h	BYTE	Link	52
Presage__Presage2	AST	No link	14
Presage__Presage2	BYTE	No link	8
Presage__Presage2	AST	Link	8
Presage__Presage2	BYTE	Link	14
ProgrammingLife2017__101010	AST	No link	6
ProgrammingLife2017__101010	BYTE	No link	5
ProgrammingLife2017__101010	AST	Link	30
ProgrammingLife2017__101010	BYTE	Link	31
project-spinoza__twitter-swiss-army-knife	AST	No link	39
project-spinoza__twitter-swiss-army-knife	BYTE	No link	39
proteus-h2020__proteus-engine	AST	No link	228
proteus-h2020__proteus-engine	BYTE	No link	162
proteus-h2020__proteus-engine	AST	Link	19
proteus-h2020__proteus-engine	BYTE	Link	10
pstauffer__jtodo	AST	No link	3
pstauffer__jtodo	BYTE	No link	3
pstauffer__jtodo	AST	Link	4
pstauffer__jtodo	BYTE	Link	4
pulsarang__proto	AST	No link	10
pulsarang__proto	BYTE	No link	10
pulsarang__proto	AST	Link	14
pulsarang__proto	BYTE	Link	14
PYangDizzle__Spark	AST	No link	11
PYangDizzle__Spark	BYTE	No link	6
PYangDizzle__Spark	AST	Link	65
PYangDizzle__Spark	BYTE	Link	72
pzg8794__samasta-omrs	AST	No link	110
pzg8794__samasta-omrs	BYTE	No link	9
qiunian2012__flink	AST	No link	156
qiunian2012__flink	BYTE	No link	162
qiunian2012__flink	AST	Link	23
qiunian2012__flink	BYTE	Link	22
qjafcunuas__jbromo	AST	No link	110
qjafcunuas__jbromo	BYTE	No link	99
qjafcunuas__jbromo	AST	Link	138
qjafcunuas__jbromo	BYTE	Link	148
Qorr__Hvalspik	AST	No link	15
Qorr__Hvalspik	BYTE	No link	15
Qorr__Hvalspik	AST	Link	10
Qorr__Hvalspik	BYTE	Link	10
qucosa__qucosa-fcrepo-oaiprovider	AST	No link	13
qucosa__qucosa-fcrepo-oaiprovider	BYTE	No link	13
qucosa__qucosa-fcrepo-oaiprovider	AST	Link	1
qucosa__qucosa-fcrepo-oaiprovider	BYTE	Link	1
quixxxy__solmyr	AST	Link	4
quixxxy__solmyr	BYTE	Link	4
rage__tmc-core-abandoned	AST	No link	125
rage__tmc-core-abandoned	BYTE	No link	124
rage__tmc-core-abandoned	AST	Link	78
rage__tmc-core-abandoned	BYTE	Link	79
rajasrinivas__Openmrs-Core	AST	No link	135
rajasrinivas__Openmrs-Core	BYTE	No link	78
rajasrinivas__Openmrs-Core	AST	Link	18
rajasrinivas__Openmrs-Core	BYTE	Link	3
rajasrinivas__vers	AST	No link	103
rajasrinivas__vers	BYTE	No link	12
rajithaab__sample-springboot-app	AST	Link	3
rajithaab__sample-springboot-app	BYTE	Link	3
rajnikant16__gitchange	AST	No link	89
rajnikant16__gitchange	BYTE	No link	37
rajnikant16__gitchange	AST	Link	22
rajnikant16__gitchange	BYTE	Link	4
raleluya__gatein-Portal	AST	No link	5
raleluya__gatein-Portal	BYTE	No link	5
raleluya__gatein-Portal	AST	Link	2
raleluya__gatein-Portal	BYTE	Link	2
ralphavalon__cloud-computing-instance-managemen	AST	No link	62
ralphavalon__cloud-computing-instance-managemen	BYTE	No link	59
ralphavalon__cloud-computing-instance-managemen	AST	Link	3
ralphavalon__cloud-computing-instance-managemen	BYTE	Link	6
ramanaraja__Pallav	AST	No link	1
ramanaraja__Pallav	BYTE	No link	1
randomizedtesting__randomizedtestin	AST	No link	67
randomizedtesting__randomizedtestin	BYTE	No link	56
randomizedtesting__randomizedtestin	BYTE	Link	11
ranjithmnair1976__jenkins_sample	AST	No link	26
ranjithmnair1976__jenkins_sample	BYTE	No link	43
raydac__java-binary-block-parser	AST	No link	509
raydac__java-binary-block-parser	BYTE	No link	998
raydac__java-binary-block-parser	AST	Link	472
redecheck__redecheck	AST	No link	39
redecheck__redecheck	BYTE	No link	39
redecheck__redecheck	AST	Link	79
redecheck__redecheck	BYTE	Link	79
RedhawkSDR__enterprise	AST	No link	7
RedhawkSDR__enterprise	BYTE	No link	7
RedhawkSDR__enterprise	AST	Link	5
RedhawkSDR__enterprise	BYTE	Link	5
reels-project__reels	AST	No link	332
reels-project__reels	BYTE	No link	246
reels-project__reels	AST	Link	45
reels-project__reels	BYTE	Link	131
Reidddddd__mo-alluxio	AST	No link	23
Reidddddd__mo-alluxio	BYTE	No link	22
Reidddddd__mo-alluxio	AST	Link	8
Reidddddd__mo-alluxio	BYTE	Link	9
remibergsma__cosmic	AST	No link	16
remibergsma__cosmic	BYTE	No link	15
remibergsma__cosmic	BYTE	Link	1
Reshkas__InternetShop	AST	Link	30
Reshkas__InternetShop	BYTE	Link	30
RestComm__media-core	AST	No link	428
RestComm__media-core	BYTE	No link	410
RestComm__media-core	AST	Link	258
RestComm__media-core	BYTE	Link	276
revbingo__SPIFF	AST	No link	191
revbingo__SPIFF	BYTE	No link	189
revbingo__SPIFF	AST	Link	13
revbingo__SPIFF	BYTE	Link	15
rgsingh__workrequest-framework	AST	No link	3
rhscqe__rhsc-shell-rest-api-automation	AST	No link	11
ricardoas__SaaSim	AST	No link	10
ricardoas__SaaSim	BYTE	No link	10
ricardoas__SaaSim	AST	Link	3
ricardoas__SaaSim	BYTE	Link	3
rmetzger__flink2	AST	No link	18
rmetzger__flink2	BYTE	No link	21
rmetzger__flink2	AST	Link	1
rmetzger__flink2	BYTE	Link	1
rmetzger__stratosphere-java-collectionbased	AST	No link	15
rmetzger__stratosphere-java-collectionbased	BYTE	No link	15
rmetzger__stratosphere-java-collectionbased	AST	Link	14
rmetzger__stratosphere-java-collectionbased	BYTE	Link	19
robin627__cms	AST	No link	70
robin627__cms	BYTE	No link	65
robin627__cms	AST	Link	273
robin627__cms	BYTE	Link	278
RobNE__PyFlinkBachelorThesis2	AST	No link	169
RobNE__PyFlinkBachelorThesis2	BYTE	No link	182
RobNE__PyFlinkBachelorThesis2	AST	Link	17
RobNE__PyFlinkBachelorThesis2	BYTE	Link	18
robotframework__RemoteApplications	AST	No link	7
robotframework__RemoteApplications	BYTE	No link	7
robotframework__RemoteApplications	AST	Link	1
robotframework__RemoteApplications	BYTE	Link	1
Roboy__roboy_dialo	AST	No link	1
Roboy__roboy_dialo	BYTE	No link	1
robphilipp__freezedry	AST	No link	60
robphilipp__freezedry	BYTE	No link	60
robphilipp__freezedry	AST	Link	20
robphilipp__freezedry	BYTE	Link	20
rochapaulo__webdriver-ex	AST	No link	7
rochapaulo__webdriver-ex	BYTE	No link	7
rocklyve__pcc-imp-webinterface	AST	No link	3
rocklyve__pcc-imp-webinterface	BYTE	No link	2
rocklyve__pcc-imp-webinterface	BYTE	Link	1
rohanpadhye__jqf	AST	No link	11
rohanpadhye__jqf	BYTE	No link	10
rohanpadhye__jqf	AST	Link	4
rohanpadhye__jqf	BYTE	Link	5
rometools__rome	AST	No link	39
rometools__rome	BYTE	No link	39
rometools__rome	AST	Link	32
rometools__rome	BYTE	Link	32
rose53__weather-p	AST	No link	15
rose53__weather-p	BYTE	No link	11
rose53__weather-p	BYTE	Link	4
roundwheel__testdemo	AST	No link	1
roundwheel__testdemo	BYTE	No link	1
roundwheel__testdemo	AST	Link	17
roundwheel__testdemo	BYTE	Link	17
RR1007__Jenkins2	AST	No link	14
RR1007__Jenkins2	BYTE	No link	30
rterp__SumZeroTradin	AST	No link	82
rterp__SumZeroTradin	BYTE	No link	56
rterp__SumZeroTradin	AST	Link	49
rterp__SumZeroTradin	BYTE	Link	75
rupeshdb__DevGitTes	AST	No link	92
rupeshdb__DevGitTes	BYTE	No link	91
rupeshdb__DevGitTes	AST	Link	44
rupeshdb__DevGitTes	BYTE	Link	49
sachindhanait__yes-car	AST	No link	13
sachindhanait__yes-car	BYTE	No link	9
sachindhanait__yes-car	BYTE	Link	4
sadhanvejella__openmrs	AST	No link	110
sadhanvejella__openmrs	BYTE	No link	1
sahilahmadlone__lone-ranger	AST	Link	2
sahilahmadlone__lone-ranger	BYTE	Link	2
sahusandeep__IRCT	AST	No link	16
sahusandeep__IRCT	BYTE	No link	16
sakaiproject__saka	AST	No link	131
sakaiproject__saka	AST	Link	62
saksdirect__API-Car	AST	No link	1
saksdirect__API-Car	BYTE	No link	1
saksdirect__API-Car	AST	Link	24
saksdirect__API-Car	BYTE	Link	24
sanjeev1987__Jenkins-Interation	AST	No link	26
sanjeev1987__Jenkins-Interation	BYTE	No link	42
santiagozeballos28__maxmovie	AST	No link	28
santiagozeballos28__maxmovie	BYTE	No link	28
sap-production__hudson-3.x	AST	No link	11
sap-production__hudson-3.x	BYTE	No link	11
sap-production__hudson-3.x	AST	Link	4
sap-production__hudson-3.x	BYTE	Link	4
SarunasG__zeppelin-oidc	AST	No link	2
SarunasG__zeppelin-oidc	BYTE	No link	2
SarunasG__zeppelin-oidc	AST	Link	2
SarunasG__zeppelin-oidc	BYTE	Link	2
sarxos__webcam-capture	AST	No link	15
sarxos__webcam-capture	BYTE	No link	15
sarxos__webcam-capture	AST	Link	4
sarxos__webcam-capture	BYTE	Link	4
sbose78__active-mq	AST	No link	1
sbose78__active-mq	BYTE	No link	1
schnaigs__c5	AST	No link	7
schnaigs__c5	BYTE	No link	7
schnaigs__c5	AST	Link	5
schnaigs__c5	BYTE	Link	5
scouter-project__scouter	AST	No link	17
scouter-project__scouter	BYTE	No link	19
scouter-project__scouter	AST	Link	3
scouter-project__scouter	BYTE	Link	1
sculptor__sculptor	AST	No link	89
sculptor__sculptor	BYTE	No link	70
sculptor__sculptor	AST	Link	1
sculptor__sculptor	BYTE	Link	20
sdanzig__lr	AST	No link	1
sdanzig__lr	BYTE	No link	1
sdmoralesma__javalab	AST	No link	4
sdmoralesma__javalab	BYTE	No link	4
sdmoralesma__javalab	AST	Link	1
sdmoralesma__javalab	BYTE	Link	1
searls__jasmine-maven-plugin	AST	No link	57
searls__jasmine-maven-plugin	BYTE	No link	48
searls__jasmine-maven-plugin	AST	Link	21
searls__jasmine-maven-plugin	BYTE	Link	30
sebfz1__wicket-jquery-u	AST	No link	1
sebfz1__wicket-jquery-u	BYTE	No link	1
seblm__books-marketplace	AST	No link	45
seblm__books-marketplace	BYTE	No link	45
seblm__books-marketplace	AST	Link	8
seblm__books-marketplace	BYTE	Link	8
sefaakca__Dissertation	AST	No link	8
sefaakca__Dissertation	BYTE	No link	8
sefaakca__Dissertation	AST	Link	1
sefaakca__Dissertation	BYTE	Link	3
sefaakca__EvoSuite-Sefa	AST	No link	8
sefaakca__EvoSuite-Sefa	BYTE	No link	8
sefaakca__EvoSuite-Sefa	AST	Link	1
sefaakca__EvoSuite-Sefa	BYTE	Link	1
seleniumQuery__seleniumQuery	AST	No link	680
seleniumQuery__seleniumQuery	AST	Link	90
selpia__gwteventservice	AST	No link	33
selpia__gwteventservice	BYTE	No link	51
semuxproject__semux	AST	No link	198
semuxproject__semux	AST	Link	115
SenaniDananjali__Open-Mrs-Projec	AST	No link	103
sentilo__sentilo	AST	No link	317
sentilo__sentilo	BYTE	No link	307
sentilo__sentilo	AST	Link	274
sentilo__sentilo	BYTE	Link	284
serezhka__milkroad	AST	No link	9
serezhka__milkroad	BYTE	No link	5
serezhka__milkroad	AST	Link	52
serezhka__milkroad	BYTE	Link	56
Serqbond__parallelrestteststry	AST	No link	10
Serqbond__parallelrestteststry	BYTE	No link	10
shahharsh__jenkins	AST	No link	26
shahharsh__jenkins	BYTE	No link	42
ShalmaleeP__Oozie	AST	No link	2
shaneagibson__primer	AST	Link	19
ShaneMckenna23__cs4227-clien	AST	No link	4
ShaneMckenna23__cs4227-clien	AST	Link	1
shanmukhsista__druid-shanmukh	AST	No link	1
shanmukhsista__druid-shanmukh	BYTE	No link	1
sharipol__Java-Spark	AST	No link	1
sharipol__Java-Spark	BYTE	No link	1
sharvinbala__jun	AST	No link	18
sharvinbala__jun	BYTE	No link	18
shelltoken__https-github.com-ysc-word	AST	No link	3
shenli-uiuc__PyroDB	AST	No link	2
shenli-uiuc__PyroDB	BYTE	No link	2
shenli-uiuc__PyroDB	AST	Link	5
shenli-uiuc__PyroDB	BYTE	Link	5
shiva10162__checkstyle	AST	No link	1529
shiva10162__checkstyle	AST	Link	233
shomaru__myappfuse2	AST	No link	1
shomaru__myappfuse2	BYTE	No link	1
shoudi__alluxio	AST	No link	727
shoudi__alluxio	BYTE	No link	714
shoudi__alluxio	AST	Link	327
shoudi__alluxio	BYTE	Link	340
shuangpan__tes	AST	No link	1
shuliangtao__activemq-5.12.0	AST	No link	40
shuliangtao__activemq-5.12.0	BYTE	No link	40
shuliangtao__activemq-5.12.0	AST	Link	9
shuliangtao__activemq-5.12.0	BYTE	Link	9
shurun19851206__cloudstack	AST	No link	34
shurun19851206__cloudstack	BYTE	No link	34
ShwethaThammaiah__openmrs-module-muzimaforms-1	AST	No link	15
ShwethaThammaiah__openmrs-module-muzimaforms-1	BYTE	No link	15
sibok666__FlowableMods	AST	No link	50
sidthrive__bidan-server	AST	No link	34
sidthrive__bidan-server	BYTE	No link	28
sidthrive__bidan-server	BYTE	Link	6
simbest__simbest-cores	AST	No link	6
simbest__simbest-cores	BYTE	No link	6
simonpatrick__stepbystep-java	AST	No link	5
simonpatrick__stepbystep-java	BYTE	No link	7
simonpatrick__stepbystep-java	AST	Link	2
SINTEF-9012__cloudml	AST	No link	233
SINTEF-9012__cloudml	BYTE	No link	233
SINTEF-9012__cloudml	AST	Link	18
SINTEF-9012__cloudml	BYTE	Link	18
SINTEF-9012__sensapp-acceptance	AST	No link	17
SINTEF-9012__sensapp-acceptance	BYTE	No link	17
SINTEF-9012__sensapp-acceptance	AST	Link	1
SINTEF-9012__sensapp-acceptance	BYTE	Link	1
sivaprasadjanjala__tes	AST	No link	23
sivaprasadjanjala__tes	BYTE	No link	23
SmartBear__JCeleryWorker	AST	No link	4
SmartBear__JCeleryWorker	BYTE	No link	4
Smithsonian__sidora-services	AST	No link	47
Smithsonian__sidora-services	BYTE	No link	47
Smithsonian__sidora-services	AST	Link	7
Smithsonian__sidora-services	BYTE	Link	7
Snagajob__nif	AST	No link	50
snefru__org.apache.felix.scr	AST	No link	1
snefru__org.apache.felix.scr	BYTE	No link	1
snefru__org.apache.felix.scr	AST	Link	2
snefru__org.apache.felix.scr	BYTE	Link	2
snuspl__coral	AST	No link	16
snuspl__coral	BYTE	No link	16
snuspl__nemo	AST	No link	4
snuspl__nemo	BYTE	No link	4
Softhouse__jargo	AST	No link	428
Softhouse__jargo	BYTE	No link	351
Softhouse__jargo	AST	Link	27
Softhouse__jargo	BYTE	Link	104
softindex__datakernel	AST	No link	272
softindex__datakernel	AST	Link	36
SoftmedTanzania__htmr_backend	AST	No link	8
SoftmedTanzania__htmr_backend	BYTE	No link	8
SoftmedTanzania__htmr_backend	AST	Link	1
SoftmedTanzania__htmr_backend	BYTE	Link	3
softservedata__lv257	AST	No link	15
softservedata__lv257	BYTE	No link	16
softservedata__lv257	AST	Link	24
softservedata__lv257	BYTE	Link	23
Sohrab-Singh__RiskGame	AST	No link	4
Sohrab-Singh__RiskGame	AST	Link	7
Sohrab-Singh__RiskGame	BYTE	Link	11
solmix__commons	AST	No link	23
solmix__commons	BYTE	No link	23
solmix__commons	AST	Link	9
solmix__commons	BYTE	Link	9
sonatype__nexus-public	AST	No link	656
sonatype__nexus-public	BYTE	No link	395
sonatype__nexus-public	AST	Link	26
sonatype__nexus-public	BYTE	Link	28
soulwing__fluent-jdbc	AST	No link	44
soulwing__fluent-jdbc	BYTE	No link	35
soulwing__fluent-jdbc	AST	Link	111
soulwing__fluent-jdbc	BYTE	Link	120
sparekh5__e-pollin	AST	No link	3
sparekh5__e-pollin	BYTE	No link	2
sparekh5__e-pollin	BYTE	Link	1
SpareRips-Productions__Mensch-aergere-dich-nich	AST	Link	1
SpareRips-Productions__Mensch-aergere-dich-nich	BYTE	Link	1
square__keywhiz	AST	No link	78
square__keywhiz	BYTE	No link	73
square__keywhiz	AST	Link	12
square__keywhiz	BYTE	Link	17
SrikanthPB__reportstes	AST	No link	20
SrikanthPB__reportstes	BYTE	No link	6
SrikanthPB__reportstes	AST	Link	24
SrikanthPB__reportstes	BYTE	Link	26
srikanthpopuri__yes-car	AST	No link	4
srikanthpopuri__yes-car	BYTE	No link	4
srirammails__osgi-http-service-utils	AST	No link	15
srirammails__osgi-http-service-utils	BYTE	No link	13
srirammails__osgi-http-service-utils	BYTE	Link	2
srkapi__pruebaCodigo	AST	Link	6
srkapi__pruebaCodigo	BYTE	Link	6
ss-stark__my-openmrs-core	AST	No link	103
ssprabhjot__stanbol	AST	No link	39
ssprabhjot__stanbol	BYTE	No link	29
ssprabhjot__stanbol	AST	Link	17
ssprabhjot__stanbol	BYTE	Link	27
STAMP-project__dspo	AST	No link	37
STAMP-project__dspo	AST	Link	8
StefanOpariuc__persistence-java-weekly	AST	No link	1
StefanOpariuc__persistence-java-weekly	BYTE	No link	1
StefanOpariuc__persistence-java-weekly	AST	Link	1
StefanOpariuc__persistence-java-weekly	BYTE	Link	1
Stratio__stratio-connector-commons	AST	No link	45
Stratio__stratio-connector-commons	BYTE	No link	29
Stratio__stratio-connector-commons	AST	Link	8
Stratio__stratio-connector-commons	BYTE	Link	24
Stratio__stratio-connector-elasticsearch	AST	No link	56
Stratio__stratio-connector-elasticsearch	BYTE	No link	54
Stratio__stratio-connector-elasticsearch	AST	Link	25
Stratio__stratio-connector-elasticsearch	BYTE	Link	27
strator-dev__greenpepper	AST	No link	102
strator-dev__greenpepper	BYTE	No link	95
strator-dev__greenpepper	AST	Link	47
strator-dev__greenpepper	BYTE	Link	54
stratosphere-eu__stratosphere-OLD-REPO	AST	No link	267
stratosphere-eu__stratosphere-OLD-REPO	BYTE	No link	262
stratosphere-eu__stratosphere-OLD-REPO	AST	Link	84
stratosphere-eu__stratosphere-OLD-REPO	BYTE	Link	89
stratosphere__stratosphere	AST	No link	5
stratosphere__stratosphere	BYTE	No link	8
stratosphere__stratosphere-sopremo	AST	No link	1
stratosphere__stratosphere-sopremo	BYTE	No link	1
stratosphere__stratosphere-sopremo	AST	Link	1
stratosphere__stratosphere-sopremo	BYTE	Link	1
streamline-eu__unified-dataflow	AST	No link	6
streamline-eu__unified-dataflow	BYTE	No link	24
streamline-eu__unified-dataflow	AST	Link	1
streamline-eu__unified-dataflow	BYTE	Link	1
subandroid__jnmap	AST	No link	1
subandroid__jnmap	BYTE	No link	1
subandroid__jnmap	AST	Link	1
subandroid__jnmap	BYTE	Link	1
subhrajitroy__motech-virgo	AST	No link	1
subhrajitroy__motech-virgo	BYTE	No link	1
subhrajitroy__motech-virgo	AST	Link	1
subhrajitroy__motech-virgo	BYTE	Link	1
suewonjp__civilizer	AST	No link	5
suewonjp__civilizer	BYTE	No link	5
suewonjp__civilizer	AST	Link	1
suewonjp__civilizer	BYTE	Link	1
sunstroy__jettysource	AST	No link	11
sunstroy__jettysource	BYTE	No link	11
svitorroberto__apocalipseZumb	AST	No link	2
svitorroberto__apocalipseZumb	BYTE	No link	2
svitorroberto__apocalipseZumb	AST	Link	22
svitorroberto__apocalipseZumb	BYTE	Link	22
svn2github__yes-cart-trunk	AST	No link	3
svn2github__yes-cart-trunk	BYTE	No link	3
swellwu__netty-4.0.35Final-learn	AST	No link	12
swellwu__netty-4.0.35Final-learn	BYTE	No link	5
swellwu__netty-4.0.35Final-learn	AST	Link	2
swellwu__netty-4.0.35Final-learn	BYTE	Link	10
sworisbreathing__ehcache-file-monitor	AST	No link	6
sworisbreathing__ehcache-file-monitor	BYTE	No link	3
sworisbreathing__ehcache-file-monitor	BYTE	Link	3
sworisbreathing__sfmf4j	AST	No link	19
sworisbreathing__sfmf4j	BYTE	No link	19
sworisbreathing__sfmf4j	AST	Link	15
sworisbreathing__sfmf4j	BYTE	Link	15
symphonyoss__App-Integrations-Commons	AST	No link	167
symphonyoss__App-Integrations-Commons	BYTE	No link	164
symphonyoss__App-Integrations-Commons	AST	Link	195
symphonyoss__App-Integrations-Commons	BYTE	Link	198
symphonyoss__symphony-java-clien	AST	No link	22
symphonyoss__symphony-java-clien	BYTE	No link	16
symphonyoss__symphony-java-clien	AST	Link	3
symphonyoss__symphony-java-clien	BYTE	Link	9
szrrizvi__openmrs-rebac	AST	No link	106
szrrizvi__openmrs-rebac	BYTE	No link	2
t7mp__maven-t7-plugin	AST	No link	18
t7mp__maven-t7-plugin	BYTE	No link	18
t7mp__maven-t7-plugin	BYTE	Link	1
tadabrowski__cvapp	AST	Link	2
tadabrowski__cvapp	BYTE	Link	2
Taeir__fish-io	AST	No link	93
Taeir__fish-io	AST	Link	121
takizhang__streamingcmp	AST	No link	36
takizhang__streamingcmp	BYTE	No link	36
takizhang__streamingcmp	AST	Link	7
takizhang__streamingcmp	BYTE	Link	7
talbotgui__mariage	AST	No link	2
talbotgui__mariage	BYTE	No link	1
talbotgui__mariage	AST	Link	2
talbotgui__mariage	BYTE	Link	3
Talend__data-prep	AST	No link	1028
Talend__data-prep	AST	Link	93
taojiaenx__netty-source-study	AST	No link	4
taojiaenx__netty-source-study	BYTE	No link	8
taojiaenx__netty-source-study	AST	Link	3
taojiaenx__netty-source-study	BYTE	Link	8
tdunning__log-synth	AST	No link	24
tdunning__log-synth	BYTE	No link	22
tdunning__log-synth	AST	Link	1
tdunning__log-synth	BYTE	Link	3
TeamEel__Phase3	AST	No link	13
TeamEel__Phase3	BYTE	No link	10
TeamEel__Phase3	AST	Link	87
TeamEel__Phase3	BYTE	Link	90
TeamEel__Phase4	AST	No link	110
TeamEel__Phase4	AST	Link	36
tejas1992__RunMyErrand	AST	No link	3
tejas1992__RunMyErrand	BYTE	No link	3
tejas1992__RunMyErrand	AST	Link	6
tejas1992__RunMyErrand	BYTE	Link	6
tejdas__dovemq-amqp	AST	No link	23
tejdas__dovemq-amqp	BYTE	No link	23
Tenderlies__MavenWeb	AST	No link	1
Tenderlies__MavenWeb	BYTE	No link	1
Tesora__tesora-dve-pub	AST	No link	96
Tesora__tesora-dve-pub	BYTE	No link	95
Tesora__tesora-dve-pub	AST	Link	29
Tesora__tesora-dve-pub	BYTE	Link	30
testIT-WebTester__webtester2-core	AST	No link	258
testIT-WebTester__webtester2-core	BYTE	No link	276
testIT-WebTester__webtester2-core	AST	Link	98
testIT-WebTester__webtester2-core	BYTE	Link	80
TH3steven__Context-TFP	AST	No link	17
TH3steven__Context-TFP	BYTE	No link	17
TH3steven__Context-TFP	AST	Link	71
TH3steven__Context-TFP	BYTE	Link	71
thcathy__esl	AST	No link	25
thcathy__esl	BYTE	No link	25
thcathy__esl	AST	Link	20
thcathy__esl	BYTE	Link	20
thejotta__CloudSimPlusModificado	AST	No link	55
thejotta__CloudSimPlusModificado	BYTE	No link	45
thejotta__CloudSimPlusModificado	AST	Link	147
thejotta__CloudSimPlusModificado	BYTE	Link	157
themanwhosold__notenrechner	AST	No link	5
themanwhosold__notenrechner	BYTE	No link	5
themanwhosold__notenrechner	AST	Link	20
themanwhosold__notenrechner	BYTE	Link	20
thermostat-project__thermostat-ng-agen	AST	No link	179
thermostat-project__thermostat-ng-agen	BYTE	No link	178
thermostat-project__thermostat-ng-agen	AST	Link	89
thermostat-project__thermostat-ng-agen	BYTE	Link	90
thethirdlane__LarkU	AST	No link	8
thethirdlane__LarkU	BYTE	No link	4
thethirdlane__LarkU	AST	Link	18
thethirdlane__LarkU	BYTE	Link	24
thg-josh-coutinho__activemq	AST	No link	8
thg-josh-coutinho__activemq	BYTE	No link	8
thinklife__felix-trunk	AST	No link	6
thinklife__felix-trunk	BYTE	No link	9
thinklife__felix-trunk	AST	Link	13
thinklife__felix-trunk	BYTE	Link	13
thirupathy82__jenkins	AST	No link	26
thirupathy82__jenkins	BYTE	No link	43
thyxkris__KPDFCompare	AST	No link	5
thyxkris__KPDFCompare	BYTE	No link	4
thyxkris__KPDFCompare	BYTE	Link	1
TimoCloud__TimoCloud	AST	Link	1
timomeinen__team-piazza	AST	No link	28
timomeinen__team-piazza	BYTE	No link	28
timomeinen__team-piazza	AST	Link	3
timomeinen__team-piazza	BYTE	Link	3
tingting703__openmrs	AST	No link	242
tingting703__openmrs	BYTE	No link	159
tingting703__openmrs	AST	Link	115
tingting703__openmrs	BYTE	Link	13
tinkerpop__rexster	AST	No link	124
tinkerpop__rexster	BYTE	No link	180
tinkerpop__rexster	AST	Link	197
tinkerpop__rexster	BYTE	Link	141
tiramon__cgap	AST	No link	5
tiramon__cgap	BYTE	No link	5
tiramon__cgap	AST	Link	1
tiramon__cgap	BYTE	Link	1
Titpost__Transactions	AST	No link	2
Titpost__Transactions	BYTE	No link	2
tjpdj1988__cipango	AST	No link	2
tjpdj1988__cipango	BYTE	No link	2
tntim96__JSCover-Gradle	AST	No link	120
tntim96__JSCover-Gradle	BYTE	No link	117
tntim96__JSCover-Gradle	AST	Link	33
tntim96__JSCover-Gradle	BYTE	Link	36
Tolerantus__trains	AST	No link	36
Tolerantus__trains	BYTE	No link	36
Tolerantus__trains	AST	Link	7
Tolerantus__trains	BYTE	Link	7
tomasbilek__gwteventservice	AST	No link	33
tomasbilek__gwteventservice	BYTE	No link	51
TonyQi__Chronicle-Map	AST	No link	84
topicusfinan__finq-res	AST	No link	5
topicusfinan__finq-res	BYTE	No link	5
topicusfinan__finq-res	AST	Link	16
topicusfinan__finq-res	BYTE	Link	16
tracee__contextlogger	AST	No link	11
tracee__contextlogger	BYTE	No link	10
tracee__contextlogger	AST	Link	37
tracee__contextlogger	BYTE	Link	38
trungtuan__motech	AST	No link	15
trungtuan__motech	BYTE	No link	14
trungtuan__motech	AST	Link	5
trungtuan__motech	BYTE	Link	6
Trust1Team__api-gateway	AST	No link	73
Trust1Team__api-gateway	BYTE	No link	66
Trust1Team__api-gateway	AST	Link	17
Trust1Team__api-gateway	BYTE	Link	24
Trust1Team__t1c-lib-java	AST	No link	131
Trust1Team__t1c-lib-java	BYTE	No link	131
Trust1Team__t1c-lib-java	AST	Link	364
Trust1Team__t1c-lib-java	BYTE	Link	364
tsundberg__selenium-test-automation	AST	No link	1
tsundberg__selenium-test-automation	BYTE	No link	1
tuituji999__new-tes	AST	No link	73
tuituji999__new-tes	BYTE	No link	123
tuituji999__new-tes	AST	Link	49
tuituji999__new-tes	BYTE	Link	57
tungpham__openmrs	AST	No link	122
tungpham__openmrs	BYTE	No link	21
