Projects with links
type	projects
AST	256
BYTE	711



Duplicate projects
type	count(*)
ALL	157



Links
project	type	link	amount
Cagiri__HazelcastSource	BYTE	No link	3504
Cagiri__HazelcastSource	AST	Link	1200
Cagiri__HazelcastSource	BYTE	Link	1722
caleb0001__motanSource	AST	No link	14
caleb0001__motanSource	BYTE	No link	4
caleb0001__motanSource	AST	Link	5
calm4wei__hbase-1.1.2-an	AST	No link	11
calm4wei__hbase-1.1.2-an	BYTE	No link	13
carlos940513__Develop	AST	No link	241
carlos940513__Develop	BYTE	No link	5
carlos940513__Develop	AST	Link	117
carlos940513__Develop	BYTE	Link	2
cbaenziger__oozie	AST	No link	33
cbaenziger__oozie	BYTE	No link	30
cbaenziger__oozie	AST	Link	1
cbaenziger__oozie	BYTE	Link	2
CChannella__BehaveJenkinsReportin	AST	No link	3
CChannella__BehaveJenkinsReportin	BYTE	No link	3
CChannella__BehaveJenkinsReportin	AST	Link	13
CChannella__BehaveJenkinsReportin	BYTE	Link	13
CChannella__MyBehavePlugin	AST	No link	3
CChannella__MyBehavePlugin	BYTE	No link	3
CCI-MIT__XCoLab	AST	No link	11
CCI-MIT__XCoLab	BYTE	No link	11
CCI-MIT__XCoLab	AST	Link	18
CCI-MIT__XCoLab	BYTE	Link	18
ccjeremiahlin__fse-F14-SA5-SSNoC-Java-REST	AST	No link	14
ccjeremiahlin__fse-F14-SA5-SSNoC-Java-REST	BYTE	No link	12
ccjeremiahlin__fse-F14-SA5-SSNoC-Java-REST	BYTE	Link	2
chandrasekh__xwiki-commons	AST	No link	13
chandrasekh__xwiki-commons	BYTE	No link	13
changxu2087__Alluxio_CX	AST	No link	81
changxu2087__Alluxio_CX	BYTE	No link	14
changxu2087__Alluxio_CX	AST	Link	84
changxu2087__Alluxio_CX	BYTE	Link	24
charlesivie__jojoar	AST	No link	13
charlesivie__jojoar	BYTE	No link	13
charlesivie__jojoar	AST	Link	53
charlesivie__jojoar	BYTE	Link	53
charwliu__karaf	AST	No link	58
charwliu__karaf	BYTE	No link	98
charwliu__karaf	AST	Link	18
charwliu__karaf	BYTE	Link	40
checkstyle__checkstyle	AST	No link	2223
checkstyle__checkstyle	AST	Link	434
chengchun__openmrs-core	AST	No link	162
chengchun__openmrs-core	BYTE	No link	43
chengchun__openmrs-core	AST	Link	119
chengchun__openmrs-core	BYTE	Link	6
cheniqit__motan	AST	Link	1
chenqin__flink-runtime-customized	AST	No link	612
chenqin__flink-runtime-customized	BYTE	No link	738
chenqin__flink-runtime-customized	AST	Link	69
chenqin__flink-runtime-customized	BYTE	Link	125
chikaikelionwu__commons-compress	AST	No link	50
chikaikelionwu__commons-compress	BYTE	No link	6
chikaikelionwu__commons-compress	AST	Link	17
chosia__zeppelin-rax-suppor	AST	No link	37
chosia__zeppelin-rax-suppor	BYTE	No link	2
chosia__zeppelin-rax-suppor	AST	Link	4
chosia__zeppelin-rax-suppor	BYTE	Link	1
chrisprobably__streamhub-server	AST	No link	121
chrisprobably__streamhub-server	BYTE	No link	100
chrisprobably__streamhub-server	AST	Link	29
chrisprobably__streamhub-server	BYTE	Link	50
citlab__cloudcom2014	AST	No link	169
citlab__cloudcom2014	BYTE	No link	115
citlab__cloudcom2014	AST	Link	31
citlab__cloudcom2014	BYTE	Link	31
clarin-eric__VirtualCollectionRegistry	AST	No link	19
clarin-eric__VirtualCollectionRegistry	BYTE	No link	8
clarin-eric__VirtualCollectionRegistry	AST	Link	11
clarin-eric__VirtualCollectionRegistry	BYTE	Link	22
clementgayvallet__computer-database	AST	No link	33
clementgayvallet__computer-database	BYTE	No link	5
clementgayvallet__computer-database	AST	Link	4
clementgayvallet__computer-database	BYTE	Link	32
Cloud-Meets-CI__cirrus	AST	No link	9
Cloud-Meets-CI__cirrus	BYTE	No link	1
Cloud-Meets-CI__cirrus	BYTE	Link	8
